credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,not.fully.paid
0,0.0775,209.18,12.22098096,1.0,802,6840.041667,0,8.6,5,0,0,False,False,False,False,False,False,0
1,0.1635,353.3,11.2515607,11.52,732,5009.958333,35873,94.4,3,0,0,False,False,False,False,False,True,0
1,0.1287,50.45,11.00209984,8.52,677,8820.041667,1506,37.6,0,2,0,False,False,False,False,False,False,0
0,0.1505,374.67,11.33857208,12.79,697,5370.041667,26598,97.1,6,0,0,True,False,False,False,False,False,1
0,0.1722,661.61,10.54534144,9.76,642,3690.0,8731,38.1,0,0,0,False,True,False,False,False,False,0
1,0.1304,236.0,10.9675084,13.77,672,2970.041667,21159,76.1,0,0,0,True,False,False,False,False,False,0
1,0.1272,251.7,11.31447453,11.12,677,6008.0,12336,46.0,0,1,0,False,True,False,False,False,False,0
1,0.1287,840.83,10.93310697,9.96,717,4478.0,9880,72.1,0,0,0,False,False,False,False,False,False,0
1,0.0705,108.15,9.574983486,23.42,792,7980.0,12748,21.0,1,0,0,False,False,False,False,False,False,0
1,0.1148,131.88,10.73639668,22.93,717,3690.0,0,0.0,0,0,0,False,True,False,False,False,False,0
1,0.0768,93.58,10.91508846,0.65,792,3479.958333,332,0.5,0,0,0,False,False,False,False,False,False,0
0,0.1311,192.35,11.00209984,5.72,692,10236.0,2077,1.1,4,3,0,False,True,False,False,False,False,1
1,0.1316,270.17,10.81977828,19.51,737,4513.958333,7936,50.9,0,0,0,False,True,False,False,False,False,0
1,0.1347,135.7,11.00209984,17.86,682,3750.0,1267,31.7,0,0,0,False,True,False,False,False,False,1
1,0.1357,397.44,10.92593848,22.66,687,5580.0,16677,45.9,1,0,0,False,True,False,False,False,False,0
1,0.0894,190.63,11.34568955,0.0,737,2166.0,0,0.0,1,0,0,True,False,False,False,False,False,0
1,0.1062,488.4,11.3736634,14.95,732,5430.0,33403,40.4,2,0,0,True,False,False,False,False,False,0
1,0.1474,518.06,11.08220409,22.1,672,4934.041667,23535,66.7,2,0,1,False,True,False,False,False,False,1
1,0.1531,870.39,11.73606902,8.14,777,2340.0,431,3.5,0,0,0,False,False,False,False,False,True,1
1,0.1272,536.95,11.00209984,21.82,692,9750.0,22252,80.2,2,1,0,False,False,False,False,False,True,0
1,0.1062,468.86,10.49127422,22.43,722,2790.041667,10899,84.5,0,0,0,False,True,False,False,False,False,1
1,0.1096,196.32,10.30895266,1.8,697,3360.0,2898,42.9,0,0,0,False,False,False,False,False,False,0
1,0.1565,227.41,9.903487553,18.9,727,2429.958333,24,6.0,0,0,0,False,False,False,False,False,True,0
1,0.1392,327.72,11.19821472,13.55,682,8430.0,618,1.8,0,1,0,False,True,False,False,False,False,0
1,0.1947,184.49,10.46310334,1.78,667,7619.958333,4198,44.2,0,1,0,False,False,False,False,False,True,1
1,0.0768,199.61,11.52682837,0.83,777,8370.0,1715,8.2,1,0,0,True,False,False,False,False,False,0
0,0.1379,511.14,11.22524339,14.64,712,3780.041667,1914,32.4,7,0,0,False,False,False,False,False,True,0
0,0.1829,352.1,10.94574111,25.5,657,3420.041667,13243,98.1,0,0,0,False,True,False,False,False,False,0
1,0.0832,314.85,11.28978191,6.25,752,3150.0,3248,16.7,0,0,0,False,False,False,False,False,False,0
1,0.1114,295.24,10.08580911,12.1,737,2370.041667,9107,63.2,1,0,0,False,True,False,False,False,False,0
1,0.0894,349.49,10.66895539,11.0,742,8879.958333,2140,5.4,0,1,0,False,True,False,False,False,False,0
1,0.0832,220.39,10.91501573,9.58,782,4439.958333,9304,24.7,1,0,0,False,True,False,False,False,False,0
1,0.0932,191.69,10.95080655,11.56,777,6810.0,14650,24.5,5,0,0,False,False,False,False,False,False,0
0,0.1854,145.7,11.00209984,28.41,657,1740.0,18242,70.2,0,0,0,False,False,False,False,False,False,0
1,0.1272,167.8,10.21097225,7.19,682,1860.041667,5091,57.2,0,0,0,False,True,False,False,False,False,0
1,0.1357,305.72,10.41331268,11.14,682,3930.0,3279,41.0,0,0,0,False,True,False,False,False,False,0
1,0.1114,32.81,11.49272276,11.64,707,5759.958333,10333,28.2,1,1,0,False,True,False,False,False,False,0
1,0.1253,669.33,11.40756495,0.68,792,4469.958333,3719,15.2,1,0,0,False,False,False,False,False,True,0
1,0.1418,568.81,11.08460106,14.62,667,3719.958333,11294,61.4,1,1,0,False,True,False,False,False,False,0
